Step_1,Step_2,Step_3,Step_4,Step_5,Step_6
[999.3177049],[999.31730668],[999.31730388],[999.31730109],[999.31729829],[999.3172955]
[999.59115613],[999.59106973],[999.59106706],[999.59106439],[999.59106171],[999.59105904]
[999.43428063],[999.43421136],[999.43421122],[999.43421107],[999.43421093],[999.43421079]
[999.40972935],[999.40961835],[999.4096172],[999.40961606],[999.40961492],[999.40961378]
[999.44505365],[999.44461298],[999.44461459],[999.44461619],[999.44461779],[999.4446194]
[999.71901884],[999.71915418],[999.71915413],[999.71915408],[999.71915404],[999.71915399]
[999.31560326],[999.31551642],[999.31551753],[999.31551864],[999.31551974],[999.31552085]
[999.41818273],[999.41815774],[999.41815753],[999.41815733],[999.41815712],[999.41815691]
[999.40597064],[999.40603064],[999.40603353],[999.40603641],[999.40603929],[999.40604217]
[999.34002571],[999.34024873],[999.34025066],[999.34025259],[999.34025453],[999.34025646]
[999.19217544],[999.19229621],[999.19227913],[999.19226205],[999.19224497],[999.19222789]
[999.21427367],[999.21427434],[999.21426669],[999.21425904],[999.21425138],[999.21424373]
[999.33726666],[999.337374],[999.3373541],[999.33733421],[999.33731432],[999.33729443]
[999.20987111],[999.20985073],[999.20983426],[999.2098178],[999.20980133],[999.20978487]
[999.32340626],[999.32346237],[999.32345244],[999.32344252],[999.32343259],[999.32342266]
[999.26931462],[999.26917898],[999.26917975],[999.26918053],[999.2691813],[999.26918207]
[999.47370688],[999.47372894],[999.47372978],[999.47373062],[999.47373145],[999.47373229]
[999.3430853],[999.34294483],[999.34292735],[999.34290987],[999.34289239],[999.34287491]
[999.48163812],[999.4816637],[999.4816628],[999.48166191],[999.48166101],[999.48166011]
[999.34464586],[999.34483759],[999.34483345],[999.34482931],[999.34482516],[999.34482102]
[999.15346813],[999.15350289],[999.15348774],[999.1534726],[999.15345745],[999.15344231]
[999.2648444],[999.26481785],[999.26479917],[999.2647805],[999.26476183],[999.26474316]
[999.32190977],[999.32192575],[999.32190644],[999.32188712],[999.3218678],[999.32184849]
[999.27496807],[999.27491708],[999.27490458],[999.27489208],[999.27487958],[999.27486708]
[999.3561043],[999.35613457],[999.35612029],[999.356106],[999.35609171],[999.35607743]
[999.26843123],[999.26847516],[999.26846331],[999.26845147],[999.26843963],[999.26842779]
[999.24295977],[999.2428487],[999.2428406],[999.24283249],[999.24282438],[999.24281627]
[999.42247968],[999.42243807],[999.42242544],[999.42241282],[999.42240019],[999.42238757]
[999.3574906],[999.35753641],[999.35752236],[999.3575083],[999.35749425],[999.35748019]
[999.25412336],[999.25406009],[999.25404714],[999.2540342],[999.25402126],[999.25400831]
[999.3619956],[999.36204378],[999.36203781],[999.36203184],[999.36202586],[999.36201989]
[999.26752003],[999.26731981],[999.26731482],[999.26730984],[999.26730485],[999.26729986]
[999.54075506],[999.54066327],[999.54065798],[999.54065269],[999.5406474],[999.54064211]
[999.47214501],[999.4722038],[999.47220349],[999.47220318],[999.47220288],[999.47220257]
[999.22000532],[999.22004609],[999.22004211],[999.22003814],[999.22003417],[999.2200302]
[999.2652594],[999.26522281],[999.26522009],[999.26521737],[999.26521465],[999.26521193]
[999.40496461],[999.40486151],[999.40486008],[999.40485865],[999.40485722],[999.40485579]
[999.53702262],[999.53707992],[999.53706694],[999.53705396],[999.53704098],[999.537028]
[999.21771179],[999.2177241],[999.21771075],[999.2176974],[999.21768405],[999.2176707]
[999.28896061],[999.28888718],[999.2888737],[999.28886022],[999.28884674],[999.28883326]
[999.4092905],[999.40925652],[999.40925101],[999.4092455],[999.40924],[999.40923449]
[999.38779066],[999.38777871],[999.3877676],[999.3877565],[999.38774539],[999.38773428]
[999.34541595],[999.3453226],[999.34532022],[999.34531783],[999.34531545],[999.34531306]
[999.45294832],[999.45301057],[999.45300723],[999.45300389],[999.45300055],[999.45299721]
[999.28425646],[999.28425967],[999.28425828],[999.2842569],[999.28425551],[999.28425412]
[999.33880804],[999.3388226],[999.33882087],[999.33881914],[999.33881741],[999.33881568]
[999.32734779],[999.32744164],[999.3274395],[999.32743736],[999.32743522],[999.32743308]
[999.20694665],[999.2069005],[999.20690173],[999.20690296],[999.2069042],[999.20690543]
[999.40277758],[999.40271536],[999.40271758],[999.40271979],[999.40272201],[999.40272422]
[999.43250123],[999.4326686],[999.43266526],[999.43266192],[999.43265858],[999.43265524]
[999.12893218],[999.12890777],[999.12890555],[999.12890333],[999.12890111],[999.12889889]
[999.34560852],[999.34566809],[999.345666],[999.3456639],[999.34566181],[999.34565971]
[999.22943486],[999.2294246],[999.22941755],[999.22941049],[999.22940344],[999.22939639]
[999.31541347],[999.31533053],[999.31533216],[999.31533379],[999.31533542],[999.31533705]
[999.45556073],[999.45552291],[999.45552424],[999.45552557],[999.4555269],[999.45552823]
[999.39842644],[999.39848465],[999.39848503],[999.39848541],[999.39848579],[999.39848617]
[999.26427253],[999.26418586],[999.26418344],[999.26418101],[999.26417859],[999.26417616]
[999.45188525],[999.45175887],[999.45176114],[999.4517634],[999.45176567],[999.45176794]
[999.5121571],[999.51192824],[999.51192178],[999.51191531],[999.51190885],[999.51190238]
[999.67448694],[999.67460289],[999.67460296],[999.67460302],[999.67460309],[999.67460315]
[999.22615394],[999.2261774],[999.22617661],[999.22617582],[999.22617503],[999.22617424]
[999.33127394],[999.3311711],[999.33116247],[999.33115383],[999.3311452],[999.33113656]
[999.4472404],[999.44724572],[999.4472455],[999.44724528],[999.44724506],[999.44724483]
[999.37303819],[999.37303139],[999.37303188],[999.37303237],[999.37303286],[999.37303334]
[999.38433227],[999.38433218],[999.38433268],[999.38433318],[999.38433367],[999.38433417]
[999.3767696],[999.37679247],[999.37679179],[999.37679111],[999.37679044],[999.37678976]
[999.34557906],[999.34550923],[999.34551289],[999.34551655],[999.34552021],[999.34552388]
[999.45989431],[999.45985843],[999.45986264],[999.45986685],[999.45987107],[999.45987528]
[999.43780038],[999.43796161],[999.43796545],[999.4379693],[999.43797314],[999.43797698]
[999.22483084],[999.22495609],[999.22495853],[999.22496096],[999.2249634],[999.22496584]
[999.24802507],[999.2481302],[999.24812983],[999.24812947],[999.24812911],[999.24812875]
[999.2436121],[999.24347855],[999.24347939],[999.24348023],[999.24348106],[999.2434819]
[999.47646553],[999.47633251],[999.47632949],[999.47632647],[999.47632345],[999.47632043]
[999.47377481],[999.47379539],[999.47379845],[999.4738015],[999.47380455],[999.47380761]
[999.3688976],[999.36908016],[999.36908011],[999.36908007],[999.36908002],[999.36907997]
[999.21472773],[999.21466699],[999.21466933],[999.21467167],[999.214674],[999.21467634]
[999.39697289],[999.39698095],[999.39697816],[999.39697536],[999.39697256],[999.39696977]
[999.35467159],[999.35470468],[999.35469323],[999.35468178],[999.35467032],[999.35465887]
[999.30435945],[999.30423683],[999.30423896],[999.30424108],[999.30424321],[999.30424534]
[999.47417489],[999.47430178],[999.47429606],[999.47429034],[999.47428462],[999.4742789]
[999.23560569],[999.23554051],[999.23554279],[999.23554507],[999.23554735],[999.23554963]
[999.40728276],[999.40735366],[999.40735522],[999.40735677],[999.40735833],[999.40735988]
[999.29974383],[999.29975419],[999.2997546],[999.29975501],[999.29975541],[999.29975582]
[999.34048636],[999.34053148],[999.34052775],[999.34052401],[999.34052028],[999.34051655]
[999.27819789],[999.27809716],[999.27809817],[999.27809917],[999.27810017],[999.27810117]
[999.47775697],[999.47778725],[999.47778935],[999.47779144],[999.47779354],[999.47779563]
[999.32073062],[999.320708],[999.32071103],[999.32071405],[999.32071708],[999.32072011]
[999.41096374],[999.41103019],[999.41102624],[999.41102229],[999.41101834],[999.41101439]
[999.16093327],[999.16092198],[999.1609126],[999.16090321],[999.16089383],[999.16088445]
[999.33564236],[999.33563069],[999.33563073],[999.33563076],[999.33563079],[999.33563082]
[999.37839325],[999.37837815],[999.37837807],[999.378378],[999.37837793],[999.37837785]
[999.41573835],[999.4157166],[999.41571989],[999.41572317],[999.41572646],[999.41572975]
[999.44931615],[999.44935721],[999.44935916],[999.44936111],[999.44936307],[999.44936502]
[999.21986057],[999.21984034],[999.21983749],[999.21983465],[999.2198318],[999.21982896]
[999.44334596],[999.44334192],[999.443341],[999.44334008],[999.44333917],[999.44333825]
[999.37840725],[999.37839112],[999.37838417],[999.37837722],[999.37837026],[999.37836331]
[999.42547901],[999.42546708],[999.42546746],[999.42546783],[999.42546821],[999.42546858]
[999.46629537],[999.46629772],[999.46629604],[999.46629437],[999.46629269],[999.46629101]
[999.21576972],[999.21575954],[999.21576199],[999.21576444],[999.21576689],[999.21576934]
[999.41648967],[999.41645306],[999.41643775],[999.41642245],[999.41640715],[999.41639184]
[999.17542146],[999.17548561],[999.17548197],[999.17547834],[999.1754747],[999.17547107]
[999.51804541],[999.51806029],[999.51806006],[999.51805983],[999.5180596],[999.51805938]
[999.39778751],[999.39778956],[999.3977869],[999.39778423],[999.39778156],[999.3977789]
[999.38170987],[999.38164855],[999.38164381],[999.38163906],[999.38163431],[999.38162957]
[999.11075504],[999.11078012],[999.11078014],[999.11078015],[999.11078016],[999.11078017]
[999.42248746],[999.42245819],[999.42244742],[999.42243666],[999.42242589],[999.42241512]
[999.29651133],[999.29653292],[999.29651995],[999.29650699],[999.29649402],[999.29648106]
[999.4232246],[999.42316204],[999.42314424],[999.42312644],[999.42310864],[999.42309084]
[999.23696571],[999.23697317],[999.23696564],[999.23695811],[999.23695058],[999.23694304]
[999.36613359],[999.36606778],[999.3660572],[999.36604662],[999.36603603],[999.36602545]
[999.23611074],[999.23607905],[999.23607307],[999.23606709],[999.23606111],[999.23605513]
[999.28017876],[999.28023561],[999.28023312],[999.28023064],[999.28022816],[999.28022568]
[999.44514188],[999.44516774],[999.44516667],[999.44516559],[999.44516452],[999.44516344]
[999.40592093],[999.40591382],[999.405915],[999.40591619],[999.40591737],[999.40591856]
[999.31537048],[999.3153634],[999.31536102],[999.31535865],[999.31535627],[999.3153539]
[999.31793161],[999.31795088],[999.31794949],[999.3179481],[999.31794671],[999.31794533]
[999.43807238],[999.43807025],[999.43806766],[999.43806507],[999.43806247],[999.43805988]
[999.3468308],[999.34682921],[999.34681223],[999.34679524],[999.34677826],[999.34676127]
[999.4006053],[999.40060509],[999.40059744],[999.40058979],[999.40058214],[999.40057449]
[999.37681554],[999.37677934],[999.376777],[999.37677466],[999.37677231],[999.37676997]
[999.20241421],[999.20243504],[999.20243279],[999.20243054],[999.20242828],[999.20242603]
[999.41917037],[999.41917723],[999.41917802],[999.41917882],[999.41917962],[999.41918041]
[999.3677737],[999.36777546],[999.36777082],[999.36776618],[999.36776154],[999.3677569]
[999.37732148],[999.37730246],[999.37729148],[999.3772805],[999.37726952],[999.37725854]
[999.29900462],[999.298991],[999.29898197],[999.29897294],[999.2989639],[999.29895487]
[999.32141451],[999.32138882],[999.32138227],[999.32137572],[999.32136917],[999.32136262]
[999.26726885],[999.2672998],[999.26729111],[999.26728242],[999.26727373],[999.26726504]
[999.45179164],[999.45178962],[999.45178347],[999.45177731],[999.45177115],[999.45176499]
[999.35180233],[999.35175557],[999.35174817],[999.35174078],[999.35173339],[999.35172599]
[999.21844002],[999.21846162],[999.21845929],[999.21845696],[999.21845463],[999.2184523]
[999.40628413],[999.40631531],[999.40631378],[999.40631225],[999.40631071],[999.40630918]
[999.4558682],[999.45587928],[999.45587909],[999.45587889],[999.4558787],[999.45587851]
[999.39340439],[999.393389],[999.39338815],[999.39338729],[999.39338644],[999.39338558]
[999.29521421],[999.29521302],[999.29521194],[999.29521087],[999.29520979],[999.29520872]
[999.34948628],[999.34950104],[999.34949655],[999.34949206],[999.34948757],[999.34948308]
[999.48056114],[999.48055633],[999.48055283],[999.48054933],[999.48054583],[999.48054234]
[999.51758143],[999.51757733],[999.51757585],[999.51757437],[999.51757288],[999.5175714]
[999.44326065],[999.44327349],[999.44326911],[999.44326473],[999.44326034],[999.44325596]
[999.1678476],[999.16786254],[999.16785895],[999.16785536],[999.16785177],[999.16784819]
[999.28366203],[999.28372921],[999.28372811],[999.28372702],[999.28372593],[999.28372484]
[999.13939799],[999.13938715],[999.13937931],[999.13937146],[999.13936362],[999.13935578]
[999.34489533],[999.34488373],[999.34487828],[999.34487284],[999.34486739],[999.34486194]
[999.36888725],[999.36881241],[999.36880171],[999.36879102],[999.36878033],[999.36876964]
[999.43743144],[999.43735042],[999.43734801],[999.4373456],[999.43734319],[999.43734078]
[999.49021477],[999.49021786],[999.49021854],[999.49021921],[999.49021988],[999.49022056]
[999.36046896],[999.36051915],[999.36051913],[999.36051911],[999.36051909],[999.36051907]
[999.24191776],[999.24190451],[999.24190016],[999.24189582],[999.24189147],[999.24188713]
[999.36009551],[999.36005592],[999.36005215],[999.36004838],[999.36004461],[999.36004084]
[999.43726108],[999.43725508],[999.43725454],[999.43725399],[999.43725345],[999.4372529]
[999.37656555],[999.37661872],[999.37660995],[999.37660118],[999.37659241],[999.37658364]
[999.18795667],[999.18795878],[999.18792998],[999.18790119],[999.1878724],[999.18784361]
[999.23561436],[999.2355211],[999.23551522],[999.23550935],[999.23550347],[999.2354976]
[999.51194048],[999.5119522],[999.51194458],[999.51193696],[999.51192934],[999.51192172]
[999.30839818],[999.30835478],[999.30835076],[999.30834675],[999.30834273],[999.30833871]
[999.39575283],[999.39574528],[999.39574279],[999.3957403],[999.39573781],[999.39573532]
[999.35749699],[999.357448],[999.35744807],[999.35744814],[999.35744821],[999.35744828]
[999.43416156],[999.43427834],[999.43427244],[999.43426654],[999.43426065],[999.43425475]
[999.16842241],[999.16838685],[999.1683824],[999.16837794],[999.16837349],[999.16836904]
[999.37389384],[999.37386008],[999.37386092],[999.37386176],[999.3738626],[999.37386345]
[999.39810447],[999.39804329],[999.39804461],[999.39804593],[999.39804726],[999.39804858]
